affected_table,completed_at,created_at,error_message,fill_percentage,id,job_id,job_item_id,mapped_fields_count,message,metadata,missing_fields_count,module_name,rows_fetched,rows_inserted,rows_skipped,rows_updated,started_at,status,step_name,stock_id,updated_at,yahoo_symbol
stock_price_history,2026-04-28T18:05:18.703+00:00,2026-04-28T18:05:18.703+00:00,,100,6599536e-8b04-4e4d-8a4b-bb4d7d2b3b59,592d1d3f-ce29-406e-b830-1e83fc1dc840,b28b4717-b830-4fb6-a3dd-85c0b00f5234,2555,Normalized Yahoo historical daily rows for RELIANCE.,"{""rawImportId"":""160e383b-f36b-41cf-9096-c3e0b3a4679d"",""duplicateMode"":""replace_matching_dates"",""lastAvailableDate"":""2026-04-28"",""firstAvailableDate"":""1996-01-01""}",0,historical_prices,365,0,0,365,2026-04-28T18:05:16.386+00:00,warning,normalization_completed,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T18:05:18.703+00:00,RELIANCE.NS
raw_yahoo_imports,,2026-04-29T00:46:08.554+00:00,,,65dfd19e-22a3-41bd-ba6a-e33df7056ec9,0df088ad-d43d-415c-a4ca-d71696c1855d,,0,Fetching Yahoo financial statements for RELIANCE.,{},0,financial_statements,0,0,0,0,2026-04-29T00:46:08.554+00:00,running,fetch_started,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-29T00:46:08.554+00:00,RELIANCE.NS
stock_import_reconciliation,2026-04-28T18:03:45.397+00:00,2026-04-28T18:03:45.397+00:00,,100,65f61ddd-21b7-4b6a-b6f8-7373f76ce5ef,2b7a1957-2e52-4b32-abc2-035d01ff834b,c803dfdf-b088-4a39-8f62-8b0011957428,2555,Reconciled Yahoo historical rows against stock_price_history for RELIANCE.,"{""rawImportId"":""bbaa8481-19dc-4e6a-b830-b02e97d1270f"",""rawRecordsCount"":365,""reconciliationStatus"":""completed"",""normalizedRecordsCount"":365}",0,historical_prices,365,0,0,365,2026-04-28T18:03:45.397+00:00,completed,reconciliation_completed,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T18:03:45.397+00:00,RELIANCE.NS
stock_market_snapshot,,2026-04-28T17:45:56.958+00:00,,,66066c9b-7ab5-4f65-849d-37a1a5d21030,a80d4397-c30c-4077-9a9d-a11f808b5e8d,,0,Normalizing latest Yahoo snapshot into stock_market_snapshot for RELIANCE.,"{""rawImportId"":""b87aeb8a-05f3-4225-81c8-cf58156aa66c""}",0,latest_market_snapshot,1,0,0,0,2026-04-28T17:45:56.958+00:00,running,normalization_started,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T17:45:56.958+00:00,RELIANCE.NS
raw_yahoo_imports,2026-04-28T17:48:59.143+00:00,2026-04-28T17:48:59.143+00:00,,,66eeb5f8-7502-4c79-b54c-ab4c97e2d9d5,1f72339f-da02-4230-9133-ba72ee62c4fb,,0,Fetched latest Yahoo market snapshot for RELIANCE.,"{""sourceUrl"":""https://query1.finance.yahoo.com/v7/finance/quote?symbols=RELIANCE.NS&formatted=false"",""stockSlug"":""reliance-industries"",""sourceName"":""yahoo_finance"",""rawImportId"":""27ff3d86-94b4-4190-a3bf-84c47e71c0e7"",""stockSymbol"":""RELIANCE"",""yahooSymbol"":""RELIANCE.NS"",""responseStatus"":200,""sourceRecordedAt"":""2026-04-28T17:48:58.92+00:00""}",0,latest_market_snapshot,1,0,0,0,2026-04-28T17:48:58.494+00:00,completed,fetch_completed,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T17:48:59.143+00:00,RELIANCE.NS
raw_yahoo_imports,2026-04-28T17:45:59.111+00:00,2026-04-28T17:45:59.54+00:00,,,675bf2b2-420a-47a4-962d-0501f9896bf3,a80d4397-c30c-4077-9a9d-a11f808b5e8d,,0,Saved raw Yahoo valuation/statistics payload for RELIANCE.,"{""sourceUrl"":""https://query1.finance.yahoo.com/v10/finance/quoteSummary/RELIANCE.NS?modules=summaryDetail%2CdefaultKeyStatistics%2CfinancialData%2Cprice&formatted=false&corsDomain=finance.yahoo.com"",""stockSlug"":""reliance-industries"",""sourceName"":""yahoo_finance"",""rawImportId"":""6dc5ffb4-b5cd-47d2-a393-bd644bcb118c"",""stockSymbol"":""RELIANCE"",""yahooSymbol"":""RELIANCE.NS"",""sourceBucket"":""valuation_statistics"",""sourceRecordedAt"":""2026-04-28T17:45:59.111+00:00""}",0,valuation_statistics,1,0,0,0,2026-04-28T17:45:59.111+00:00,completed,raw_saved,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T17:45:59.54+00:00,RELIANCE.NS
stock_cash_flow,2026-04-28T17:46:12.177+00:00,2026-04-28T17:46:12.178+00:00,,100,685f5d6e-faff-4bd7-a08e-b0db84b7333e,9f7616df-ad7c-4eb6-b1e3-3434712e6a42,86a6f95f-5f2c-45de-95b9-39969f13438c,22,Normalized cash flow annual for RELIANCE.,"{""periodType"":""annual"",""rawImportId"":""0d361d85-e8b1-472a-91dc-c031289d2f44"",""latestFiscalDate"":""2025-03-31""}",0,cash_flow_annual,2,2,0,0,2026-04-28T17:46:06.045+00:00,completed,normalization_completed,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T17:46:12.178+00:00,RELIANCE.NS
raw_yahoo_imports,,2026-04-29T00:45:56.481+00:00,,,68cdc06d-f05d-42b4-a5c2-fe8e7cbfd892,f3b587e4-f531-48dc-b65c-dc5c6d37413c,,0,"Fetching Yahoo daily history for RELIANCE (max, 1d).","{""period"":""max"",""interval"":""1d"",""duplicateMode"":""replace_matching_dates""}",0,historical_prices,0,0,0,0,2026-04-29T00:45:56.481+00:00,running,fetch_started,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-29T00:45:56.481+00:00,RELIANCE.NS
stock_valuation_metrics,,2026-04-29T00:46:03.743+00:00,,,6963d4f0-22cf-4c5a-8107-b090ba837c5a,d3dde28e-92e3-4af6-ad50-f317725a08b3,,0,Normalizing Yahoo valuation/statistics buckets for RELIANCE.,"{""tradeDate"":""2026-04-28"",""rawImportId"":""e8e84b93-404c-4e6d-a178-69262ed05965""}",0,valuation_statistics,1,0,0,0,2026-04-29T00:46:03.742+00:00,running,normalization_started,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-29T00:46:03.743+00:00,RELIANCE.NS
stock_import_coverage,2026-04-28T17:46:13.799+00:00,2026-04-28T17:46:13.8+00:00,,95.45,6a26f7b4-200d-4a21-9292-4b8db2120ce2,9f7616df-ad7c-4eb6-b1e3-3434712e6a42,81415399-de84-4258-a0d5-c9f100131c59,22,Updated cash flow quarterly coverage for RELIANCE.,"{""bucketKey"":""cash_flow_quarterly"",""rawImportId"":""0d361d85-e8b1-472a-91dc-c031289d2f44""}",1,cash_flow_quarterly,2,2,0,0,2026-04-28T17:46:13.799+00:00,warning,coverage_updated,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T17:46:13.8+00:00,RELIANCE.NS
